path,label,class,split
train/0_Normal/Normal (1118).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Viral (326).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1589).jpg,2,2_Pneumonia,train
train/1_Covid19/COVID-19 (782).jpg,1,1_Covid19,train
validation/0_Normal/Normal (3078).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (1323).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (959).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (798).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (2809).jpg,0,0_Normal,train
train/0_Normal/Normal (245).jpg,0,0_Normal,train
train/0_Normal/Normal (1785).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1532).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (2315).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (1928).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (1654).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (1443).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (2634).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (1146).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Viral (60).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (2517).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (741).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1930).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (2910).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Viral (540).jpg,2,2_Pneumonia,train
train/1_Covid19/COVID-19 (891).jpg,1,1_Covid19,train
train/0_Normal/Normal (2350).jpg,0,0_Normal,train
train/1_Covid19/COVID-19 (476).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Bacterial (1521).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Viral (153).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (979).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (380).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1179).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (2887).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1942).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (691).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (2476).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (1680).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (1479).jpg,2,2_Pneumonia,train
train/1_Covid19/COVID-19 (634).jpg,1,1_Covid19,train
train/0_Normal/Normal (2461).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (2566).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1155).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (1555).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Viral (391).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (1065).jpg,0,0_Normal,train
train/0_Normal/Normal (1558).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Viral (507).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Viral (108).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (992).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (547).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (2815).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1199).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (2864).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (466).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (2200).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Viral (661).jpg,2,2_Pneumonia,train
train/1_Covid19/COVID-19 (438).jpg,1,1_Covid19,train
validation/2_Pneumonia/Pneumonia-Viral (770).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1605).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (890).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (2557).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (754).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Viral (500) (1).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (2872).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1324).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Viral (452).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Viral (91).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (2633).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (2479).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1890).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (3166).jpg,0,0_Normal,train
train/0_Normal/Normal (2186).jpg,0,0_Normal,train
train/0_Normal/Normal (704).jpg,0,0_Normal,train
